Cuota_Inicial__c,Presupuesto_inmueble_a_comprar__c,ingresos_totales__c,Ingresos_familiares__c,Calidad_de_lead__c,picklist_ciudad__c
30000000.0,450000000.0,1800000.0,1800000.0,Descalificado,Bogotá
30000000.0,450000000.0,1800000.0,1800000.0,Descalificado,Bogotá
30000000.0,450000000.0,1800000.0,1800000.0,Descalificado,Bogotá
30000000.0,450000000.0,1800000.0,1800000.0,Descalificado,Bogotá
5000000.0,165500000.0,1300000.0,1300000.0,Descalificado,Bogotá
20000000.0,250000000.0,5000000.0,5000000.0,Descalificado,Bogotá
300000000.0,70000000.0,5500000.0,5500000.0,Descalificado,Medellín
100000000.0,310000000.0,40000000.0,40000000.0,Alta,Bogotá
31240000.0,156200000.0,8000000.0,8000000.0,Alta,Bogotá
20000000.0,120000000.0,6500000.0,6500000.0,Alta,Bogotá
0.0,300000000.0,2500000.0,2500000.0,Descalificado,Bogotá
60000000.0,260000000.0,15000000.0,15000000.0,Alta,Bogotá
2000000.0,190000000.0,2500000.0,2500000.0,Descalificado,Bogotá
30000000.0,190000000.0,4000000.0,4000000.0,Media,Bogotá
38000000.0,230000000.0,4000000.0,4000000.0,Descalificado,Bogotá
100000000.0,500000000.0,18000000.0,18000000.0,Descalificado,
25000000.0,152000000.0,4600000.0,4600000.0,Descalificado,
66000000.0,330000000.0,10000000.0,10000000.0,Alta,Bogotá
70000000.0,450000000.0,6500000.0,6500000.0,Descalificado,Bogotá
50000000.0,210000000.0,4000000.0,4000000.0,Media,Bogotá
30000000.0,250000000.0,10000000.0,10000000.0,Descalificado,Bogotá
10000000.0,650000000.0,5000000.0,5000000.0,Descalificado,Bogotá
35000000.0,250000000.0,10200000000.0,10200000000.0,Media,Bogotá
2000000.0,50000000.0,2500000.0,2500000.0,Descalificado,Ibagué
26000000.0,195000000.0,2600000.0,2600000.0,Descalificado,Bogotá
60000000.0,195000000.0,2600000.0,2600000.0,Descalificado,Bogotá
60000000.0,195000000.0,2600000.0,2600000.0,Descalificado,Bogotá
0.0,150000000.0,1600000.0,1600000.0,Descalificado,Bogotá
40000000.0,160000000.0,4700000.0,4700000.0,Descalificado,
0.0,190000000.0,2401000.0,2401000.0,Descalificado,Bogotá
40000000.0,500000000.0,5000000.0,5000000.0,Descalificado,Bogotá
5000000.0,130000000.0,1300000.0,1300000.0,Descalificado,Montería
10000000.0,200000000.0,7000000.0,7000000.0,Descalificado,Bogotá
30000000.0,550000000.0,5000000.0,5000000.0,Descalificado,Bogotá
30.0,280.0,5.0,5.0,Descalificado,Bogotá
0.0,,3000000.0,3000000.0,Descalificado,Bogotá
6000000.0,200000000.0,3000000.0,3000000.0,Descalificado,Bogotá
0.0,189000000.0,1900000.0,1900000.0,Descalificado,Bogotá
0.0,200000000.0,4900000.0,4900000.0,Descalificado,Bogotá
70000000.0,500000000.0,5000000.0,5000000.0,Descalificado,Bogotá
10000000.0,120000000.0,3000000.0,3000000.0,Descalificado,Cali
10000000.0,230000000.0,3500000.0,3500000.0,Descalificado,Bogotá
25000000.0,350000000.0,4000000.0,4000000.0,Descalificado,Bogotá
0.0,,8000000.0,8000000.0,Descalificado,Bogotá
